pval,name,family,role
1.553491582,T cell lineage commitment,Nocardiaceae,Positive
-2.020446699,response to protozoan (A),Chlamydiales,Neutral
1.990750214,response to protozoan,Chitinophagaceae,Neutral
-1.360188792,response to nematode,Rubrobacteraceae,Neutral
-2.075392436,response to interleukin-18 (B),Betaproteobacteria,Positive
-3.211439246,response to interleukin-18 (A),Spartobacteria,Positive
-3.318611233,response to interleukin-18,Methylobacteriaceae,Positive
-1.945491511,response to interleukin-15 (C),Rubrobacteraceae,Positive
1.615027123,response to interleukin-15 (B),Chlamydiales,Positive
-2.517484722,response to interleukin-15 (A),Orbaceae,Positive
-1.35293044,response to interleukin-15,Halomonadaceae,Positive
1.679432107,regulation of mast cell chemotaxis (A),Caulobacteraceae,Neutral
1.834836314,regulation of mast cell chemotaxis,Methylobacteriaceae,Neutral
1.542157412,regulation of macrophage chemotaxis (C),Incertae_Sedis_XI,Neutral
1.948945311,regulation of macrophage chemotaxis (B),Chlamydiales,Neutral
-1.644794274,regulation of macrophage chemotaxis (A),Gp10,Neutral
-1.467372393,regulation of macrophage chemotaxis,Halomonadaceae,Neutral
2.743638077,regulation of interleukin-12 secretion (D),Peptostreptococcaceae,Neutral
2.661175906,regulation of interleukin-12 secretion (C),Nocardiaceae,Neutral
-2.229865557,regulation of interleukin-12 secretion (B),Orbaceae,Neutral
2.595054152,regulation of interleukin-12 secretion (A),Clostridiaceae,Neutral
1.39418518,regulation of interleukin-12 secretion,Chitinophagaceae,Neutral
1.76649974,regulation of interleukin-12 production (A),Chitinophagaceae,Neutral
2.766544997,regulation of interleukin-12 production,Caulobacteraceae,Neutral
-1.828134225,regulation of interleukin-1-mediated signaling pathway (A),Rubrobacteraceae,Neutral
1.615027123,regulation of interleukin-1-mediated signaling pathway,Chlamydiales,Neutral
2.255621479,regulation of interferon-alpha production (C),Peptostreptococcaceae,Neutral
1.644785858,regulation of interferon-alpha production (B),Clostridiaceae,Neutral
1.76649974,regulation of interferon-alpha production (A),Chitinophagaceae,Neutral
1.355643837,regulation of interferon-alpha production,Caulobacteraceae,Neutral
1.542157412,regulation of granulocyte chemotaxis (A),Incertae_Sedis_XI,Neutral
-1.439505891,regulation of granulocyte chemotaxis,Halomonadaceae,Neutral
-1.360188792,regulation of dendritic cell cytokine production,Rubrobacteraceae,Neutral
1.39418518,regulation of cytokine production involved in inflammatory response,Chitinophagaceae,Neutral
1.918567557,regulation of B cell differentiation (C),Peptostreptococcaceae,Neutral
1.721487195,regulation of B cell differentiation (B),Nocardiaceae,Neutral
1.776676338,regulation of B cell differentiation (A),Clostridiaceae,Neutral
-1.376525799,regulation of B cell differentiation,Betaproteobacteria,Neutral
-1.471435115,production of molecular mediator involved in inflammatory response (B),Chitinophagaceae,Neutral
-3.043126566,production of molecular mediator involved in inflammatory response (A),Caulobacteraceae,Neutral
-3.186358654,production of molecular mediator involved in inflammatory response,Spartobacteria,Neutral
