"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"Otu00001" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Bacillales_unclassified" "Bacillales_unclassified" ""
"Otu00002" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Betaproteobacteria_unclassified" "Betaproteobacteria_unclassified" "Betaproteobacteria_unclassified" ""
"Otu00003" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Alcaligenaceae" "Alcaligenaceae_unclassified" ""
"Otu00004" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Neisseriales" "Neisseriaceae" "Deefgea" ""
"Otu00005" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Mycobacteriaceae" "Mycobacterium" ""
"Otu00006" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Clostridiaceae_1" "Clostridiaceae_1_unclassified" ""
"Otu00007" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Betaproteobacteria_unclassified" "Betaproteobacteria_unclassified" "Betaproteobacteria_unclassified" ""
"Otu00008" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "Rhodospirillaceae" "Novispirillum" ""
"Otu00009" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Rhodobacteraceae_unclassified" ""
"Otu00010" "Bacteria" "Fusobacteria" "Fusobacteriia" "Fusobacteriales" "Fusobacteriaceae" "Fusobacteriaceae_unclassified" ""
"Otu00011" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Peptostreptococcaceae" "Clostridium_XI" ""
"Otu00012" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Mycobacteriaceae" "Mycobacterium" ""
"Otu00013" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Clostridiaceae_1" "Clostridium_sensu_stricto" ""
"Otu00014" "Bacteria" "Planctomycetes" "Planctomycetia" "Planctomycetales" "Planctomycetaceae" "Planctomycetaceae_unclassified" ""
"Otu00015" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Clostridiaceae_1" "Clostridium_sensu_stricto" ""
"Otu00016" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Propionibacteriaceae" "Propionibacteriaceae_unclassified" ""
"Otu00017" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Oxalobacteraceae" "Oxalobacteraceae_unclassified" ""
"Otu00018" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" "Comamonadaceae_unclassified" ""
"Otu00019" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" "Brevundimonas" ""
"Otu00020" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Bradyrhizobiaceae" "Bradyrhizobium" ""
"Otu00021" "Bacteria" "Bacteroidetes" "Flavobacteriia" "Flavobacteriales" "Flavobacteriaceae" "Flavobacterium" ""
