"","Name","Sample","Date","Act.Num","Number","DPE","F","M","Family","WormSource","Sex","worm_present","n_worms_found","Group","Depth","Measure","Alpha_diversity_mean","Alpha_diversity_sd"
"14","n10GR25xRG20B","n10GR25xRG20B","11/5/2015","10","10","42","GR25","RG20B","GRxRG","Echo","M","FALSE"," 0","GR25xRG20B",4000,"Observed",85.7,3.8020462326957
"41","n10GRAxGR13","n10GRAxGR13","11/19/2014","10"," 4","43","GRmixA","GR13","GRxGR","Gos","M","FALSE"," 0","GRAxGR13",4000,"Observed",59.1,3.66515120197426
"57","n10GRAxGRA","n10GRAxGRA","4/2/2015","10","10","44","GRA","GRA","GRxGR","Gos","M"," TRUE"," 1","GRAxGRA",4000,"Observed",66.3,5.8319045869348
"97","n10GRAxRG20","n10GRAxRG20","9/29/2015","10","10","41","GRA","RG20","GRxRG","Echo","F"," TRUE"," 1","GRAxRG20",4000,"Observed",251,12.5521135891752
"121","n10GRBxGR13","n10GRBxGR13","12/3/2014","10","10","43","GRmixB","GR13","GRxGR","Gos","F"," TRUE"," 1","GRBxGR13",4000,"Observed",77.8,4.13118223595458
"138","n10GRxGRA","n10GRxGRA","11/12/2014","10","10","43","GRmix","GRmixA","GRxGR","Gos","F","FALSE"," 0","GRxGRA",4000,"Observed",121.1,7.03088424974649
"248","n10GRxRG20A","n10GRxRG20A","10/6/2015","10","10","42","GR","RG20A","GRxRG","Echo","M"," TRUE"," 8","GRxRG20A",4000,"Observed",102.8,4.9620784175809
"281","n10RG20xGR13","n10RG20xGR13","9/24/2015","10","10","41","RG20","GR13","RGxGR","Echo","M"," TRUE"," 4","RG20xGR13",4000,"Observed",46.8,3.8815804341359
"321","n11GR25xRG20B","n11GR25xRG20B","11/5/2015","11","11","42","GR25","RG20B","GRxRG","Echo","F","FALSE"," 0","GR25xRG20B",4000,"Observed",58.5,6.24054840894969
"397","n11GRAxGRA","n11GRAxGRA","4/2/2015","11","11","44","GRA","GRA","GRxGR","Gos","M"," TRUE"," 2","GRAxGRA",4000,"Observed",47.3,6.20125435339944
