gene	Gene.ontology.IDs
ENSGACT00000015535.1	GO:0003723;GO:0005829;GO:0008486;GO:0046872;GO:0052840;GO:0052843;GO:0052844;GO:0052845;GO:0052846;GO:0052847;GO:0052848
ENSGACT00000024911.1	GO:0003723;GO:0005829;GO:0008486;GO:0046872;GO:0052840;GO:0052843;GO:0052844;GO:0052845;GO:0052846;GO:0052847;GO:0052848
ENSGACT00000014729.1	GO:0004511;GO:0005506;GO:0009072;GO:0042136;GO:0042416;GO:0043204;GO:0070852
ENSGACT00000014733.1	GO:0004511;GO:0005506;GO:0009072;GO:0042136;GO:0042416;GO:0043204;GO:0070852
ENSGACT00000005298.3	GO:0001764;GO:0003682;GO:0005634;GO:0005737;GO:0005856;GO:0010592;GO:0021884;GO:0030426;GO:0031532;GO:0035022;GO:0045944;GO:0048675;GO:0048703;GO:0051571;GO:0060013;GO:0070050;GO:0097484;GO:0098582;GO:2000620
ENSGACT00000021535.1	GO:0016021
ENSGACT00000012276.1	GO:0002250;GO:0002377;GO:0003823;GO:0005615;GO:0005886;GO:0006955
ENSGACT00000012565.1	GO:0002250;GO:0002377;GO:0003823;GO:0005615;GO:0005886;GO:0006955
ENSGACT00000012559.1	GO:0002250;GO:0002377;GO:0003823;GO:0005615;GO:0005886;GO:0006955
ENSGACT00000000721.1	GO:0002250;GO:0002377;GO:0003823;GO:0005615;GO:0005886;GO:0006955
ENSGACT00000012551.1	GO:0002250;GO:0002377;GO:0003823;GO:0005615;GO:0005886;GO:0006955
ENSGACT00000016949.1	GO:0003823;GO:0006910;GO:0006911;GO:0006958;GO:0009897;GO:0034987;GO:0042571;GO:0042742;GO:0045087;GO:0050853;GO:0050871
ENSGACT00000012295.1	GO:0002250;GO:0002377;GO:0003823;GO:0005615;GO:0005886;GO:0006955
ENSGACT00000026438.1	GO:0002250;GO:0005886
ENSGACT00000026439.1	GO:0002250;GO:0005886
ENSGACT00000026432.1	GO:0002250;GO:0005886
ENSGACT00000026431.1	GO:0002250;GO:0005886
ENSGACT00000012542.1	GO:0002250;GO:0002377;GO:0003823;GO:0005615;GO:0005886;GO:0006955
ENSGACT00000012530.1	GO:0002250;GO:0002377;GO:0003823;GO:0005615;GO:0005886;GO:0006955
